sample_id	Bin ID	Mapped genome	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	CAMI_high_GoldStandardAssembly-bin_109.fna	1036662		1.0	3705705	3695854	3695854.0		1.0	62	60	60.0
pool	CAMI_high_GoldStandardAssembly-bin_114.fna	1036719	0.9805933149811855	1.0	6747984	6617028	6617028.0	0.891566265060241	1.0	83	74	74.0
pool	CAMI_high_GoldStandardAssembly-bin_116.fna	1049023	0.34535261678466267	1.0	17141399	5919827	5919827.0	0.49282296650717705	1.0	209	103	103.0
pool	CAMI_high_GoldStandardAssembly-bin_122.fna	1048864	0.4193627359086982	1.0	19337195	8109299	8109299.0	0.21787709497206703	1.0	179	39	39.0
pool	CAMI_high_GoldStandardAssembly-bin_17.fna	1048948		1.0	3930266	3865680	3865680.0		1.0	70	63	63.0
pool	CAMI_high_GoldStandardAssembly-bin_18.fna	1049017	0.11709781592895845	1.0	59909956	7015325	7015325.0	0.07945736434108527	1.0	516	41	41.0
pool	CAMI_high_GoldStandardAssembly-bin_21.fna	1036779	0.4046343615391672	1.0	13200567	5341403	5341403.0	0.37333333333333335	1.0	225	84	84.0
pool	CAMI_high_GoldStandardAssembly-bin_23.fna	1030794	0.3438759414227469	1.0	27386740	9417641	9417641.0	0.13602941176470587	1.0	272	37	37.0
pool	CAMI_high_GoldStandardAssembly-bin_2.fna	1048879	0.3875118326361109	1.0	24125013	9348728	9348728.0	0.2617801047120419	1.0	191	50	50.0
pool	CAMI_high_GoldStandardAssembly-bin_35.fna	1030857	0.24532806412152086	1.0	22088060	5418821	5418821.0	0.21348314606741572	1.0	267	57	57.0
pool	CAMI_high_GoldStandardAssembly-bin_48.fna	evo_1036569.031		1.0	3605054	3372290	3372290.0		1.0	41	28	28.0
pool	CAMI_high_GoldStandardAssembly-bin_53.fna	1030764	0.2707424265187996	1.0	17418707	4715983	4715983.0	0.14479638009049775	1.0	221	32	32.0
pool	CAMI_high_GoldStandardAssembly-bin_54.fna	1036647		1.0	4236742	3999657	3999657.0		1.0	74	62	62.0
pool	CAMI_high_GoldStandardAssembly-bin_64.fna	1048999	0.4016016863863795	1.0	19754429	7933412	7933412.0	0.03942652329749104	1.0	279	11	11.0
pool	CAMI_high_GoldStandardAssembly-bin_66.fna	1036548	0.18012101690649504	1.0	33669841	6064646	6064646.0	0.356401384083045	1.0	289	103	103.0
pool	CAMI_high_GoldStandardAssembly-bin_82.fna	evo_1048963.008	0.3702639573823382	1.0	13965853	5171052	5171052.0	0.13108614232209737	1.0	267	35	35.0
pool	CAMI_high_GoldStandardAssembly-bin_91.fna	1030821		1.0	4214744	4107155	4107155.0		1.0	75	69	69.0
