sample_id	Bin ID	Mapped genome	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	CAMI_high_GoldStandardAssembly.fasta_bin_10	1048999	1.0	1.0	7933412	7933412	7933412.0	1.0	1.0	11	11	11.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_11	1030746	1.0	1.0	3547923	3547923	3547923.0	1.0	1.0	2	2	2.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_28A	1030758	1.0	1.0	2978743	2978743	2978743.0	1.0	1.0	8	8	8.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_31A	1030743	0.9994182416158921	1.0	3609746	3607646	3607646.0	0.6	1.0	5	3	3.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_52B	1285_BK	0.99286492559108	1.0	3485738	3460867	3460867.0	0.75	1.0	12	9	9.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_138	1048930	0.8357304586789286	1.0	5274234	4407838	4407838.0	0.9545454545454546	1.0	22	21	21.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_1148	1030857	1.0	1.0	5418821	5418821	5418821.0	1.0	1.0	57	57	57.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_70.1.1	1048762	0.997158801062168	1.0	3283473	3274144	3274144.0	0.9615384615384616	1.0	26	25	25.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_467	1030821	1.0	1.0	4107155	4107155	4107155.0	1.0	1.0	69	69	69.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_486A	1036746	1.0	1.0	2406712	2406712	2406712.0	1.0	1.0	34	34	34.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_541	evo_1048969.002	0.9994099197234741	1.0	3670687	3668521	3668521.0	0.9885057471264368	1.0	87	86	86.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_1A	1220_K	1.0	0.9998007728567985	3874202	3874202	3874974.0	1.0	0.6666666666666666	2	2	3.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_48	1036653	1.0	0.9997624925501891	5413281	5413281	5414567.0	1.0	0.9642857142857143	27	27	28.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_21A	1048582	0.9992348100514169	0.9997327892957051	5548949	5544703	5546185.0	0.9090909090909091	0.9523809523809523	22	20	21.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_116A	1287_H	1.0	0.9997138082450929	4041587	4041587	4042744.0	1.0	0.6666666666666666	6	6	9.0
pool	CAMI_high_GoldStandardAssembly.fasta_bin_231A	1365_H	0.5550205218137779	0.9996549171100388	6169289	3424082	3425264.0	0.5217391304347826	0.8571428571428571	23	12	14.0
