sample_id	Bin ID	Mapped genome	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	Bin_179	1030743	0.8104567263950412	1.0	4451374	3607646	3607646.0	0.028846153846153848	1.0	104	3	3.0
pool	Bin_088	1049029	0.8089673486760162	1.0	4978573	4027503	4027503.0	0.13131313131313133	1.0	99	13	13.0
pool	Bin_118	1030746	0.9397941255235135	1.0	3775213	3547923	3547923.0	0.10526315789473684	1.0	19	2	2.0
pool	Bin_232	1048999	0.9997649735478673	1.0	7935277	7933412	7933412.0	0.9166666666666666	1.0	12	11	11.0
pool	Bin_160	1287_H	1.0	0.9997138082450929	4041587	4041587	4042744.0	1.0	0.6666666666666666	6	6	9.0
pool	Bin_002	1036647	0.9275058023613088	0.9996459696418968	4310745	3998241	3999657.0	0.7625	0.9838709677419355	80	61	62.0
pool	Bin_019	1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912.0	1.0	0.7692307692307693	10	10	13.0
pool	Bin_175	1365_D	1.0	0.9995697672584279	2787988	2787988	2789188.0	1.0	0.85	17	17	20.0
pool	Bin_193	1048888	0.9978308432180911	0.9995687243282433	8652210	8633442	8637167.0	0.8478260869565217	0.9512195121951219	46	39	41.0
pool	Bin_267	1048777	1.0	0.9994730924696263	6989952	6989952	6993637.0	1.0	0.8823529411764706	15	15	17.0
pool	Bin_136	1036719	0.9539761821715658	0.9994511130979044	6932454	6613396	6617028.0	0.7934782608695652	0.9864864864864865	92	73	74.0
pool	Bin_096	1048948	0.7777998355066125	0.999345263963908	4966765	3863149	3865680.0	0.5636363636363636	0.9841269841269841	110	62	63.0
pool	Bin_219	1048582	0.9957956476328688	0.9992924866372109	5565661	5542261	5546185.0	0.6060606060606061	0.9523809523809523	33	20	21.0
pool	Bin_149	1286_AW	1.0	0.9992239627878936	3606562	3606562	3609363.0	1.0	0.7777777777777778	14	14	18.0
pool	Bin_288	1048912	0.9969950063684397	0.9990842712637128	5626967	5610058	5615200.0	0.9090909090909091	0.8333333333333334	11	10	12.0
pool	Bin_100	1285_L	0.9863914190574731	0.9990490972658564	5604699	5528427	5533689.0	0.84375	0.7105263157894737	32	27	38.0
pool	Bin_026	1053046	0.9958895840559217	0.9990255230077307	5397264	5375079	5380322.0	0.96	0.9230769230769231	25	24	26.0
pool	Bin_325	1048855	0.8982551993881621	0.9989833383142791	5269370	4733239	4738056.0	0.5510204081632653	0.9310344827586207	49	27	29.0
pool	Bin_277	1030872	0.9961104514186562	0.998869917048626	4761478	4742958	4748324.0	0.8888888888888888	0.8888888888888888	27	24	27.0
pool	Bin_057	1036797	0.9946693902519052	0.9988637571126342	4403999	4380523	4385506.0	0.8421052631578947	0.8888888888888888	19	16	18.0
pool	Bin_178	1285_H	1.0	0.9987561880744987	3626258	3626258	3630774.0	1.0	0.7	7	7	10.0
pool	Bin_182	1048924	0.9997122367218864	0.9986955846411828	5042339	5040888	5047472.0	0.9444444444444444	0.85	18	17	20.0
pool	Bin_152	1036617	0.9131048332211704	0.9986940667978601	3159094	2884584	2888356.0	0.5116279069767442	0.9166666666666666	43	22	24.0
pool	Bin_278	1030764	0.9932855969654112	0.9986806568217061	4741598	4709761	4715983.0	0.9032258064516129	0.875	31	28	32.0
pool	Bin_297	1139_BV	0.9963158128373385	0.9985550986097437	3829610	3815501	3821022.0	0.8823529411764706	0.967741935483871	34	30	31.0
pool	Bin_070	1286_M	0.9947027220245188	0.9984594063599735	3905402	3884714	3890708.0	0.875	0.5833333333333334	8	7	12.0
pool	Bin_330	1036599	0.9830350138862237	0.9984255230992335	4387802	4313363	4320165.0	0.4473684210526316	0.7727272727272727	38	17	22.0
pool	Bin_010	1286_CM	1.0	0.998417313086016	3798269	3798269	3804290.0	1.0	0.8571428571428571	12	12	14.0
pool	Bin_119	1036638	0.8022510732323542	0.9983850927119435	2035207	1632747	1635388.0	0.08130081300813008	0.9090909090909091	123	10	11.0
pool	Bin_016	1285_M	0.9786893160233353	0.9983193758846592	5304757	5191709	5200449.0	0.7796610169491526	0.71875	59	46	64.0
pool	Bin_284	1285_AY	1.0	0.9983092351471194	4014458	4014458	4021257.0	1.0	0.7647058823529411	13	13	17.0
pool	Bin_058	1286_AT	0.8588144211861604	0.9982360017316081	4126845	3544194	3550457.0	0.22727272727272727	0.7142857142857143	22	5	7.0
pool	Bin_054	1030893	0.9039261865050031	0.9981554974448376	3230412	2920054	2925450.0	0.6153846153846154	0.8888888888888888	13	8	9.0
