sample_id	Bin ID	Mapped genome	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	maxbin.txt.085.fasta	1049029	0.8107244217390333	1.0	4967783	4027503	4027503.0	0.1326530612244898	1.0	98	13	13.0
pool	maxbin.txt.114.fasta	1030746	0.9397941255235135	1.0	3775213	3547923	3547923.0	0.10526315789473684	1.0	19	2	2.0
pool	maxbin.txt.174.fasta	1030743	0.8042476826565962	1.0	4485740	3607646	3607646.0	0.027522935779816515	1.0	109	3	3.0
pool	maxbin.txt.225.fasta	1048999	0.9997649735478673	1.0	7935277	7933412	7933412.0	0.9166666666666666	1.0	12	11	11.0
pool	maxbin.txt.157.fasta	1287_H	1.0	0.9997138082450929	4041587	4041587	4042744.0	1.0	0.6666666666666666	6	6	9.0
pool	maxbin.txt.002.fasta	1036647	0.9275058023613088	0.9996459696418968	4310745	3998241	3999657.0	0.7625	0.9838709677419355	80	61	62.0
pool	maxbin.txt.019.fasta	1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912.0	1.0	0.7692307692307693	10	10	13.0
pool	maxbin.txt.170.fasta	1365_D	1.0	0.9995697672584279	2787988	2787988	2789188.0	1.0	0.85	17	17	20.0
pool	maxbin.txt.187.fasta	1048888	0.9978308432180911	0.9995687243282433	8652210	8633442	8637167.0	0.8478260869565217	0.9512195121951219	46	39	41.0
pool	maxbin.txt.258.fasta	1048777	1.0	0.9994730924696263	6989952	6989952	6993637.0	1.0	0.8823529411764706	15	15	17.0
pool	maxbin.txt.133.fasta	1036719	0.9539761821715658	0.9994511130979044	6932454	6613396	6617028.0	0.7934782608695652	0.9864864864864865	92	73	74.0
pool	maxbin.txt.094.fasta	1048948	0.7759772104906144	0.999345263963908	4978431	3863149	3865680.0	0.5585585585585585	0.9841269841269841	111	62	63.0
pool	maxbin.txt.211.fasta	1048582	0.9957956476328688	0.9992924866372109	5565661	5542261	5546185.0	0.6060606060606061	0.9523809523809523	33	20	21.0
pool	maxbin.txt.147.fasta	1286_AW	1.0	0.9992239627878936	3606562	3606562	3609363.0	1.0	0.7777777777777778	14	14	18.0
pool	maxbin.txt.279.fasta	1048912	1.0	0.9990842712637128	5610058	5610058	5615200.0	1.0	0.8333333333333334	10	10	12.0
pool	maxbin.txt.098.fasta	1285_L	0.9863914190574731	0.9990490972658564	5604699	5528427	5533689.0	0.84375	0.7105263157894737	32	27	38.0
pool	maxbin.txt.026.fasta	1053046	0.9958895840559217	0.9990255230077307	5397264	5375079	5380322.0	0.96	0.9230769230769231	25	24	26.0
